frase,situacao
Sinto um aperto forte no peito quando me esforço e demoro a melhorar.,alto risco
Sinto palpitações e um peso no peito que vem junto com tontura.,alto risco
"Sinto tontura, suor frio e dor no peito sempre que ando mais rápido.",alto risco
Tenho um peso no peito que me impede de caminhar normalmente.,alto risco
"Tenho forte cansaço, palpitações e falta de ar quando tento dormir.",alto risco
Estou com dor na cervical há três dias por ficar muito tempo no computador.,baixo risco
"Sinto uma pressão leve no estômago depois do almoço, sem outros sintomas.",baixo risco
Tenho cansaço extremo e falta de ar mesmo em atividades simples do dia.,alto risco
"Tenho batimentos irregulares, aperto no peito e muita fraqueza há dois dias.",alto risco
Percebo um desconforto passageiro no peito quando fico muito ansioso.,baixo risco
Sinto palpitações e uma pressão forte no tórax sempre que subo ladeira.,alto risco
Tenho queimação no estômago depois das refeições e isso passa com o tempo.,baixo risco
Sinto pontadas no peito acompanhadas de tontura e suor excessivo.,alto risco
"Estou com cansaço extremo, pressão no peito e respiração curta desde cedo.",alto risco
"Sinto cansaço leve, porém consigo subir escadas sem dificuldade.",baixo risco
Percebo desconforto gástrico e sensação de estufamento depois de comer rápido.,baixo risco
Sinto um incômodo no estômago e leve queimação depois do almoço.,baixo risco
Sinto uma dor forte no peito que irradia para o braço esquerdo desde ontem.,alto risco
"Estou com dor muscular no peito ao tossir, mas sem outros sintomas.",baixo risco
Estou com sensação de estômago pesado após refeições mais gordurosas.,baixo risco
"Sinto desconforto leve no peito quando viro de lado, mas passa rapidamente.",baixo risco
"Percebo respiração difícil, pressão no tórax e suor excessivo à noite.",alto risco
"Sinto falta de ar repentina, batimentos acelerados e fraqueza no corpo.",alto risco
Tenho um incômodo nas costas que piora ao me abaixar e melhora ao descansar.,baixo risco
"Estou com dor torácica, náusea e sensação de que vou desmaiar.",alto risco
Estou com dor no peito há dois dias e ela se espalha para o ombro.,alto risco
Sinto dor torácica intensa depois de pequenos esforços e preciso sentar.,alto risco
Tenho azia e sensação de refluxo quando como muito tarde da noite.,baixo risco
"Estou com dor leve no peito ao tocar a região, como se fosse muscular.",baixo risco
Sinto uma dorzinha nas costas que melhora com bolsa de água morna.,baixo risco
Sinto o coração disparado e muita tontura depois de um esforço leve.,alto risco
Tenho dor na lombar depois de passar muito tempo sentado trabalhando.,baixo risco
Percebo falta de ar ao falar e um aperto constante no tórax.,alto risco
"Estou com azia frequente depois do jantar, principalmente quando deito cedo.",baixo risco
Sinto dor torácica com tontura e enjoo quando faço qualquer esforço.,alto risco
Tenho dores musculares generalizadas depois de um dia de mudança.,baixo risco
"Tenho sensação de peso no peito, sudorese e muito cansaço ao subir escadas.",alto risco
"Sinto dor no peito, falta de ar e fraqueza desde a noite passada.",alto risco
Tenho dor leve nas costas que melhora ao alongar durante o dia.,baixo risco
Percebo um peso no peito que piora quando caminho por alguns minutos.,alto risco
Percebo um aperto no tórax e tontura quando fico em pé por muito tempo.,alto risco
"Estou com pressão no peito, suor frio e náusea desde a noite passada.",alto risco
"Sinto azia depois de comer alimentos gordurosos, especialmente à noite.",baixo risco
Percebo aperto no peito e respiração ofegante até em pequenos trajetos.,alto risco
Tenho mal-estar leve e dor no corpo após uma noite mal dormida.,baixo risco
Sinto um incômodo leve no peito que aparece quando fico ansioso e logo passa.,baixo risco
Estou com pressão no peito e dificuldade para respirar desde a madrugada.,alto risco
Tenho uma pontada nas costas depois de trocar móveis de lugar em casa.,baixo risco
Estou com uma leve dor de cabeça e fadiga após um dia corrido.,baixo risco
Percebo um desconforto torácico persistente acompanhado de palpitações.,alto risco
Tenho dor no peito que piora ao andar e melhora só parcialmente com repouso.,alto risco
Sinto dor no peito com irradiação para as costas e suor frio.,alto risco
Estou com falta de ar em repouso e isso piorou nas últimas 24 horas.,alto risco
Tenho dor leve nas pernas depois de caminhar bastante no fim de semana.,baixo risco
"Tenho palpitações, desconforto no peito e sensação de falta de ar contínua.",alto risco
Sinto dor leve na lateral do corpo depois de pegar peso de forma errada.,baixo risco
Sinto o coração acelerar do nada junto com falta de ar e fraqueza.,alto risco
"Tenho cansaço anormal, coração acelerado e falta de ar desde ontem.",alto risco
"Estou com o corpo cansado, mas consigo fazer minhas atividades normalmente.",baixo risco
Percebo tensão nos ombros e no pescoço em dias mais estressantes.,baixo risco
Percebo tensão muscular no tórax após um treino de peito mais pesado.,baixo risco
Sinto uma dor profunda no peito que piora sempre que faço esforço físico.,alto risco
"Desde ontem, sinto um desconforto no peito que não passa com descanso.",alto risco
Percebo dor leve no braço após esforço físico repetitivo no serviço.,baixo risco
Estou com cansaço moderado porque tenho dormido tarde nos últimos dias.,baixo risco
